,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
0,"{'f': 0.19354838235171706, 'p': 0.25, 'r': 0.15789473684210525}","{'f': 0.06896551253269949, 'p': 0.09090909090909091, 'r': 0.05555555555555555}","{'f': 0.14285713826530627, 'p': 0.2, 'r': 0.1111111111111111}",id_cnn_88698,0.19354838235171706,0.25,0.15789473684210525,0.06896551253269949,0.09090909090909091,0.05555555555555555,0.14285713826530627,0.2,0.1111111111111111,-,-,-
1,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_26727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
2,"{'f': 0.4444444395061729, 'p': 0.5, 'r': 0.4}","{'f': 0.23999999507200007, 'p': 0.2727272727272727, 'r': 0.21428571428571427}","{'f': 0.4545454499173554, 'p': 0.625, 'r': 0.35714285714285715}",id_dm_205431,0.4444444395061729,0.5,0.4,0.23999999507200007,0.2727272727272727,0.21428571428571427,0.4545454499173554,0.625,0.35714285714285715,-,-,-
3,"{'f': 0.1538461489644972, 'p': 0.18181818181818182, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.15999999520000013, 'p': 0.2, 'r': 0.13333333333333333}",id_dm_63684,0.1538461489644972,0.18181818181818182,0.13333333333333333,0.0,0.0,0.0,0.15999999520000013,0.2,0.13333333333333333,-,-,-
4,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_139779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
5,"{'f': 0.1739130384877128, 'p': 0.18181818181818182, 'r': 0.16666666666666666}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.09090908595041348, 'p': 0.1, 'r': 0.08333333333333333}",id_dm_192811,0.1739130384877128,0.18181818181818182,0.16666666666666666,0.0,0.0,0.0,0.09090908595041348,0.1,0.08333333333333333,-,-,-
6,"{'f': 0.07692307204142042, 'p': 0.09090909090909091, 'r': 0.06666666666666667}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07692307204142042, 'p': 0.09090909090909091, 'r': 0.06666666666666667}",id_dm_39584,0.07692307204142042,0.09090909090909091,0.06666666666666667,0.0,0.0,0.0,0.07692307204142042,0.09090909090909091,0.06666666666666667,-,-,-
7,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_174006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
8,"{'f': 0.14999999625000007, 'p': 0.3, 'r': 0.1}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.15789473351800565, 'p': 0.375, 'r': 0.1}",id_dm_135109,0.14999999625000007,0.3,0.1,0.0,0.0,0.0,0.15789473351800565,0.375,0.1,-,-,-
9,"{'f': 0.14814814315500704, 'p': 0.14285714285714285, 'r': 0.15384615384615385}","{'f': 0.07999999500800031, 'p': 0.07692307692307693, 'r': 0.08333333333333333}","{'f': 0.15384614884615402, 'p': 0.15384615384615385, 'r': 0.15384615384615385}",id_dm_6976,0.14814814315500704,0.14285714285714285,0.15384615384615385,0.07999999500800031,0.07692307692307693,0.08333333333333333,0.15384614884615402,0.15384615384615385,0.15384615384615385,-,-,-
