,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
0,"{'f': 0.1379310294887041, 'p': 0.14285714285714285, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14285713785714302, 'p': 0.14285714285714285, 'r': 0.14285714285714285}",id_cnn_88698,0.1379310294887041,0.14285714285714285,0.13333333333333333,0.0,0.0,0.0,0.14285713785714302,0.14285714285714285,0.14285714285714285,-,-,-
1,"{'f': 0.25806451175858486, 'p': 0.19047619047619047, 'r': 0.4}","{'f': 0.13793103020214045, 'p': 0.1, 'r': 0.2222222222222222}","{'f': 0.27586206444708683, 'p': 0.21052631578947367, 'r': 0.4}",id_dm_26727,0.25806451175858486,0.19047619047619047,0.4,0.13793103020214045,0.1,0.2222222222222222,0.27586206444708683,0.21052631578947367,0.4,-,-,-
2,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_205431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
3,"{'f': 0.23076922766272187, 'p': 0.14285714285714285, 'r': 0.6}","{'f': 0.16666666388888893, 'p': 0.1, 'r': 0.5}","{'f': 0.26086956181474485, 'p': 0.16666666666666666, 'r': 0.6}",id_cnn_47838,0.23076922766272187,0.14285714285714285,0.6,0.16666666388888893,0.1,0.5,0.26086956181474485,0.16666666666666666,0.6,-,-,-
4,"{'f': 0.6896551677051131, 'p': 0.5555555555555556, 'r': 0.9090909090909091}","{'f': 0.5925925879286695, 'p': 0.47058823529411764, 'r': 0.8}","{'f': 0.7142857095153062, 'p': 0.5882352941176471, 'r': 0.9090909090909091}",id_dm_63684,0.6896551677051131,0.5555555555555556,0.9090909090909091,0.5925925879286695,0.47058823529411764,0.8,0.7142857095153062,0.5882352941176471,0.9090909090909091,-,-,-
5,"{'f': 0.22857142390204094, 'p': 0.18181818181818182, 'r': 0.3076923076923077}","{'f': 0.060606055977961794, 'p': 0.047619047619047616, 'r': 0.08333333333333333}","{'f': 0.23529411292387553, 'p': 0.19047619047619047, 'r': 0.3076923076923077}",id_dm_139779,0.22857142390204094,0.18181818181818182,0.3076923076923077,0.060606055977961794,0.047619047619047616,0.08333333333333333,0.23529411292387553,0.19047619047619047,0.3076923076923077,-,-,-
6,"{'f': 0.14285713877551035, 'p': 0.1, 'r': 0.25}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14814814397805223, 'p': 0.10526315789473684, 'r': 0.25}",id_dm_192811,0.14285713877551035,0.1,0.25,0.0,0.0,0.0,0.14814814397805223,0.10526315789473684,0.25,-,-,-
7,"{'f': 0.39999999568979594, 'p': 0.2916666666666667, 'r': 0.6363636363636364}","{'f': 0.06060605638200213, 'p': 0.043478260869565216, 'r': 0.1}","{'f': 0.3030302985858586, 'p': 0.22727272727272727, 'r': 0.45454545454545453}",id_dm_39584,0.39999999568979594,0.2916666666666667,0.6363636363636364,0.06060605638200213,0.043478260869565216,0.1,0.3030302985858586,0.22727272727272727,0.45454545454545453,-,-,-
8,"{'f': 0.5714285668367348, 'p': 0.4444444444444444, 'r': 0.8}","{'f': 0.3846153800887574, 'p': 0.29411764705882354, 'r': 0.5555555555555556}","{'f': 0.4285714239795918, 'p': 0.3333333333333333, 'r': 0.6}",id_dm_174006,0.5714285668367348,0.4444444444444444,0.8,0.3846153800887574,0.29411764705882354,0.5555555555555556,0.4285714239795918,0.3333333333333333,0.6,-,-,-
9,"{'f': 0.43999999500799997, 'p': 0.4583333333333333, 'r': 0.4230769230769231}","{'f': 0.20833332834201398, 'p': 0.21739130434782608, 'r': 0.2}","{'f': 0.44897958685547695, 'p': 0.4782608695652174, 'r': 0.4230769230769231}",id_dm_135109,0.43999999500799997,0.4583333333333333,0.4230769230769231,0.20833332834201398,0.21739130434782608,0.2,0.44897958685547695,0.4782608695652174,0.4230769230769231,-,-,-
10,"{'f': 0.19999999580000008, 'p': 0.14285714285714285, 'r': 0.3333333333333333}","{'f': 0.14285713877551035, 'p': 0.1, 'r': 0.25}","{'f': 0.19999999580000008, 'p': 0.14285714285714285, 'r': 0.3333333333333333}",id_dm_6976,0.19999999580000008,0.14285714285714285,0.3333333333333333,0.14285713877551035,0.1,0.25,0.19999999580000008,0.14285714285714285,0.3333333333333333,-,-,-
11,"{'f': 0.20689654772889424, 'p': 0.14285714285714285, 'r': 0.375}","{'f': 0.07407407023319637, 'p': 0.05, 'r': 0.14285714285714285}","{'f': 0.21428571020408166, 'p': 0.15, 'r': 0.375}",id_dm_74333,0.20689654772889424,0.14285714285714285,0.375,0.07407407023319637,0.05,0.14285714285714285,0.21428571020408166,0.15,0.375,-,-,-
12,"{'f': 0.0952380905215422, 'p': 0.07692307692307693, 'r': 0.125}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0952380905215422, 'p': 0.07692307692307693, 'r': 0.125}",id_cnn_43643,0.0952380905215422,0.07692307692307693,0.125,0.0,0.0,0.0,0.0952380905215422,0.07692307692307693,0.125,-,-,-
13,"{'f': 0.3783783736742148, 'p': 0.30434782608695654, 'r': 0.5}","{'f': 0.22857142390204094, 'p': 0.18181818181818182, 'r': 0.3076923076923077}","{'f': 0.42424241946740127, 'p': 0.35, 'r': 0.5384615384615384}",id_dm_29827,0.3783783736742148,0.30434782608695654,0.5,0.22857142390204094,0.18181818181818182,0.3076923076923077,0.42424241946740127,0.35,0.5384615384615384,-,-,-
14,"{'f': 0.2272727223657026, 'p': 0.2, 'r': 0.2631578947368421}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14999999501250016, 'p': 0.14285714285714285, 'r': 0.15789473684210525}",id_dm_203378,0.2272727223657026,0.2,0.2631578947368421,0.0,0.0,0.0,0.14999999501250016,0.14285714285714285,0.15789473684210525,-,-,-
