,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
0,"{'f': 0.06666666166666704, 'p': 0.06666666666666667, 'r': 0.06666666666666667}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06896551224732497, 'p': 0.06666666666666667, 'r': 0.07142857142857142}",id_cnn_88698,0.06666666166666704,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06896551224732497,0.06666666666666667,0.07142857142857142,-,-,-
1,"{'f': 0.4516128988553591, 'p': 0.3333333333333333, 'r': 0.7}","{'f': 0.34482758192627827, 'p': 0.25, 'r': 0.5555555555555556}","{'f': 0.48275861617122473, 'p': 0.3684210526315789, 'r': 0.7}",id_dm_26727,0.4516128988553591,0.3333333333333333,0.7,0.34482758192627827,0.25,0.5555555555555556,0.48275861617122473,0.3684210526315789,0.7,-,-,-
2,"{'f': 0.13793102977407862, 'p': 0.1111111111111111, 'r': 0.18181818181818182}","{'f': 0.0740740694101512, 'p': 0.058823529411764705, 'r': 0.1}","{'f': 0.14814814348422511, 'p': 0.11764705882352941, 'r': 0.2}",id_dm_205431,0.13793102977407862,0.1111111111111111,0.18181818181818182,0.0740740694101512,0.058823529411764705,0.1,0.14814814348422511,0.11764705882352941,0.2,-,-,-
3,"{'f': 0.2399999968, 'p': 0.15, 'r': 0.6}","{'f': 0.17391304060491497, 'p': 0.10526315789473684, 'r': 0.5}","{'f': 0.26086956181474485, 'p': 0.16666666666666666, 'r': 0.6}",id_cnn_47838,0.2399999968,0.15,0.6,0.17391304060491497,0.10526315789473684,0.5,0.26086956181474485,0.16666666666666666,0.6,-,-,-
4,"{'f': 0.14285713808673486, 'p': 0.11764705882352941, 'r': 0.18181818181818182}","{'f': 0.0769230721893494, 'p': 0.0625, 'r': 0.1}","{'f': 0.15999999507200013, 'p': 0.14285714285714285, 'r': 0.18181818181818182}",id_dm_63684,0.14285713808673486,0.11764705882352941,0.18181818181818182,0.0769230721893494,0.0625,0.1,0.15999999507200013,0.14285714285714285,0.18181818181818182,-,-,-
5,"{'f': 0.07999999500800031, 'p': 0.08333333333333333, 'r': 0.07692307692307693}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07999999500800031, 'p': 0.08333333333333333, 'r': 0.07692307692307693}",id_dm_139779,0.07999999500800031,0.08333333333333333,0.07692307692307693,0.0,0.0,0.0,0.07999999500800031,0.08333333333333333,0.07692307692307693,-,-,-
6,"{'f': 0.11111110617283973, 'p': 0.1, 'r': 0.125}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13333332835555575, 'p': 0.14285714285714285, 'r': 0.125}",id_dm_192811,0.11111110617283973,0.1,0.125,0.0,0.0,0.0,0.13333332835555575,0.14285714285714285,0.125,-,-,-
7,"{'f': 0.2666666620222223, 'p': 0.21052631578947367, 'r': 0.36363636363636365}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.2142857095153062, 'p': 0.17647058823529413, 'r': 0.2727272727272727}",id_dm_39584,0.2666666620222223,0.21052631578947367,0.36363636363636365,0.0,0.0,0.0,0.2142857095153062,0.17647058823529413,0.2727272727272727,-,-,-
8,"{'f': 0.14814814348422511, 'p': 0.11764705882352941, 'r': 0.2}","{'f': 0.07999999539200027, 'p': 0.0625, 'r': 0.1111111111111111}","{'f': 0.1538461491124262, 'p': 0.125, 'r': 0.2}",id_dm_174006,0.14814814348422511,0.11764705882352941,0.2,0.07999999539200027,0.0625,0.1111111111111111,0.1538461491124262,0.125,0.2,-,-,-
9,"{'f': 0.45833332836805557, 'p': 0.5, 'r': 0.4230769230769231}","{'f': 0.21739129938563337, 'p': 0.23809523809523808, 'r': 0.2}","{'f': 0.4680851014395655, 'p': 0.5238095238095238, 'r': 0.4230769230769231}",id_dm_135109,0.45833332836805557,0.5,0.4230769230769231,0.21739129938563337,0.23809523809523808,0.2,0.4680851014395655,0.5238095238095238,0.4230769230769231,-,-,-
10,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_6976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
