,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
0,"{'f': 0.12121211625344373, 'p': 0.1111111111111111, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06451612407908468, 'p': 0.058823529411764705, 'r': 0.07142857142857142}",id_cnn_88698,0.12121211625344373,0.1111111111111111,0.13333333333333333,0.0,0.0,0.0,0.06451612407908468,0.058823529411764705,0.07142857142857142,-,-,-
1,"{'f': 0.25806451175858486, 'p': 0.19047619047619047, 'r': 0.4}","{'f': 0.13793103020214045, 'p': 0.1, 'r': 0.2222222222222222}","{'f': 0.27586206444708683, 'p': 0.21052631578947367, 'r': 0.4}",id_dm_26727,0.25806451175858486,0.19047619047619047,0.4,0.13793103020214045,0.1,0.2222222222222222,0.27586206444708683,0.21052631578947367,0.4,-,-,-
2,"{'f': 0.28571428094387763, 'p': 0.23529411764705882, 'r': 0.36363636363636365}","{'f': 0.1538461491124262, 'p': 0.125, 'r': 0.2}","{'f': 0.2962962916323732, 'p': 0.23529411764705882, 'r': 0.4}",id_dm_205431,0.28571428094387763,0.23529411764705882,0.36363636363636365,0.1538461491124262,0.125,0.2,0.2962962916323732,0.23529411764705882,0.4,-,-,-
3,"{'f': 0.21428571135204083, 'p': 0.13043478260869565, 'r': 0.6}","{'f': 0.1538461512426036, 'p': 0.09090909090909091, 'r': 0.5}","{'f': 0.2399999968, 'p': 0.15, 'r': 0.6}",id_cnn_47838,0.21428571135204083,0.13043478260869565,0.6,0.1538461512426036,0.09090909090909091,0.5,0.2399999968,0.15,0.6,-,-,-
4,"{'f': 0.13793102977407862, 'p': 0.1111111111111111, 'r': 0.18181818181818182}","{'f': 0.0740740694101512, 'p': 0.058823529411764705, 'r': 0.1}","{'f': 0.13793102977407862, 'p': 0.1111111111111111, 'r': 0.18181818181818182}",id_dm_63684,0.13793102977407862,0.1111111111111111,0.18181818181818182,0.0740740694101512,0.058823529411764705,0.1,0.13793102977407862,0.1111111111111111,0.18181818181818182,-,-,-
5,"{'f': 0.12903225319458916, 'p': 0.1111111111111111, 'r': 0.15384615384615385}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1333333284222224, 'p': 0.11764705882352941, 'r': 0.15384615384615385}",id_dm_139779,0.12903225319458916,0.1111111111111111,0.15384615384615385,0.0,0.0,0.0,0.1333333284222224,0.11764705882352941,0.15384615384615385,-,-,-
6,"{'f': 0.08333332888888913, 'p': 0.0625, 'r': 0.125}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.08333332888888913, 'p': 0.0625, 'r': 0.125}",id_dm_192811,0.08333332888888913,0.0625,0.125,0.0,0.0,0.0,0.08333332888888913,0.0625,0.125,-,-,-
7,"{'f': 0.3749999954882812, 'p': 0.2857142857142857, 'r': 0.5454545454545454}","{'f': 0.06666666222222252, 'p': 0.05, 'r': 0.1}","{'f': 0.38709676961498435, 'p': 0.3, 'r': 0.5454545454545454}",id_dm_39584,0.3749999954882812,0.2857142857142857,0.5454545454545454,0.06666666222222252,0.05,0.1,0.38709676961498435,0.3,0.5454545454545454,-,-,-
8,"{'f': 0.14814814348422511, 'p': 0.11764705882352941, 'r': 0.2}","{'f': 0.07999999539200027, 'p': 0.0625, 'r': 0.1111111111111111}","{'f': 0.1538461491124262, 'p': 0.125, 'r': 0.2}",id_dm_174006,0.14814814348422511,0.11764705882352941,0.2,0.07999999539200027,0.0625,0.1111111111111111,0.1538461491124262,0.125,0.2,-,-,-
9,"{'f': 0.45833332836805557, 'p': 0.5, 'r': 0.4230769230769231}","{'f': 0.21739129938563337, 'p': 0.23809523809523808, 'r': 0.2}","{'f': 0.45833332836805557, 'p': 0.5, 'r': 0.4230769230769231}",id_dm_135109,0.45833332836805557,0.5,0.4230769230769231,0.21739129938563337,0.23809523809523808,0.2,0.45833332836805557,0.5,0.4230769230769231,-,-,-
10,"{'f': 0.23076922624260363, 'p': 0.17647058823529413, 'r': 0.3333333333333333}","{'f': 0.16666666222222234, 'p': 0.125, 'r': 0.25}","{'f': 0.23076922624260363, 'p': 0.17647058823529413, 'r': 0.3333333333333333}",id_dm_6976,0.23076922624260363,0.17647058823529413,0.3333333333333333,0.16666666222222234,0.125,0.25,0.23076922624260363,0.17647058823529413,0.3333333333333333,-,-,-
11,"{'f': 0.2857142816326531, 'p': 0.2, 'r': 0.5}","{'f': 0.07692307298816588, 'p': 0.05263157894736842, 'r': 0.14285714285714285}","{'f': 0.2962962921262003, 'p': 0.21052631578947367, 'r': 0.5}",id_dm_74333,0.2857142816326531,0.2,0.5,0.07692307298816588,0.05263157894736842,0.14285714285714285,0.2962962921262003,0.21052631578947367,0.5,-,-,-
12,"{'f': 0.1052631530193908, 'p': 0.09090909090909091, 'r': 0.125}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1052631530193908, 'p': 0.09090909090909091, 'r': 0.125}",id_cnn_43643,0.1052631530193908,0.09090909090909091,0.125,0.0,0.0,0.0,0.1052631530193908,0.09090909090909091,0.125,-,-,-
13,"{'f': 0.2941176422145329, 'p': 0.25, 'r': 0.35714285714285715}","{'f': 0.12499999517578143, 'p': 0.10526315789473684, 'r': 0.15384615384615385}","{'f': 0.3225806402913632, 'p': 0.2777777777777778, 'r': 0.38461538461538464}",id_dm_29827,0.2941176422145329,0.25,0.35714285714285715,0.12499999517578143,0.10526315789473684,0.15384615384615385,0.3225806402913632,0.2777777777777778,0.38461538461538464,-,-,-
14,"{'f': 0.6111111061265434, 'p': 0.6470588235294118, 'r': 0.5789473684210527}","{'f': 0.5294117597231834, 'p': 0.5625, 'r': 0.5}","{'f': 0.6285714236081633, 'p': 0.6875, 'r': 0.5789473684210527}",id_dm_203378,0.6111111061265434,0.6470588235294118,0.5789473684210527,0.5294117597231834,0.5625,0.5,0.6285714236081633,0.6875,0.5789473684210527,-,-,-
15,"{'f': 0.26086956045368626, 'p': 0.21428571428571427, 'r': 0.3333333333333333}","{'f': 0.19047618575963732, 'p': 0.15384615384615385, 'r': 0.25}","{'f': 0.26086956045368626, 'p': 0.21428571428571427, 'r': 0.3333333333333333}",id_cnn_8356,0.26086956045368626,0.21428571428571427,0.3333333333333333,0.19047618575963732,0.15384615384615385,0.25,0.26086956045368626,0.21428571428571427,0.3333333333333333,-,-,-
16,"{'f': 0.36363635886134077, 'p': 0.3, 'r': 0.46153846153846156}","{'f': 0.2580645113839751, 'p': 0.21052631578947367, 'r': 0.3333333333333333}","{'f': 0.3448275814982165, 'p': 0.2777777777777778, 'r': 0.45454545454545453}",id_cnn_90507,0.36363635886134077,0.3,0.46153846153846156,0.2580645113839751,0.21052631578947367,0.3333333333333333,0.3448275814982165,0.2777777777777778,0.45454545454545453,-,-,-
17,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_83985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
18,"{'f': 0.31999999520000005, 'p': 0.26666666666666666, 'r': 0.4}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.2727272678925621, 'p': 0.23076923076923078, 'r': 0.3333333333333333}",id_dm_61957,0.31999999520000005,0.26666666666666666,0.4,0.0,0.0,0.0,0.2727272678925621,0.23076923076923078,0.3333333333333333,-,-,-
19,"{'f': 0.4285714242091837, 'p': 0.3157894736842105, 'r': 0.6666666666666666}","{'f': 0.3076923034319527, 'p': 0.2222222222222222, 'r': 0.5}","{'f': 0.4285714242091837, 'p': 0.3157894736842105, 'r': 0.6666666666666666}",id_cnn_3357,0.4285714242091837,0.3157894736842105,0.6666666666666666,0.3076923034319527,0.2222222222222222,0.5,0.4285714242091837,0.3157894736842105,0.6666666666666666,-,-,-
